OTUId,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU_119,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,
OTU_181,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,
OTU_1035,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,
OTU_752,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,,
OTU_113,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,
OTU_11,Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Veillonella,dispar
OTU_93,Bacteria,Firmicutes,Clostridia,Clostridiales,[Tissierellaceae],Anaerococcus,
OTU_282,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,,
OTU_39,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,melaninogenica
OTU_766,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,copri
OTU_80,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
OTU_66,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,
OTU_101,Bacteria,Firmicutes,Clostridia,Clostridiales,[Tissierellaceae],Anaerococcus,
OTU_12,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,subflava
OTU_16,Bacteria,Firmicutes,Clostridia,Clostridiales,[Tissierellaceae],Finegoldia,
OTU_196,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,
OTU_1452,Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Veillonella,dispar
OTU_175,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,[Paraprevotellaceae],Paraprevotella,
OTU_60,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,pallens
OTU_82,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Kingella,
OTU_45,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Lautropia,
OTU_1469,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,,
OTU_64,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,
OTU_19,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Gardnerella,
OTU_53,Bacteria,Firmicutes,Clostridia,Clostridiales,[Tissierellaceae],Peptoniphilus,
OTU_412,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
OTU_155,Bacteria,Firmicutes,Clostridia,Clostridiales,[Tissierellaceae],Jan-68,
OTU_5,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,melaninogenica
OTU_96,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Abiotrophia,
OTU_13,Bacteria,Firmicutes,Bacilli,Gemellales,Gemellaceae,,
OTU_1776,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,
OTU_20,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,
OTU_74,Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Megasphaera,
OTU_530,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oscillospira,
OTU_801,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Enhydrobacter,
OTU_569,Bacteria,Synergistetes,Synergistia,Synergistales,Dethiosulfovibrionaceae,TG5,
OTU_1345,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Oribacterium,
OTU_1202,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,[Weeksellaceae],Chryseobacterium,
OTU_1357,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,granulosum
OTU_22,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,
OTU_580,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,
OTU_186,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,parahaemolyticus
OTU_75,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,
OTU_36,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,prausnitzii
OTU_355,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,
OTU_56,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,
OTU_405,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,
OTU_968,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,
OTU_297,Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Veillonella,
OTU_114,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,SMB53,
OTU_286,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Facklamia,
OTU_33,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,
OTU_290,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,
OTU_102,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,
OTU_558,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,
OTU_122,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,
OTU_1004,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,
OTU_54,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,
OTU_805,Bacteria,Firmicutes,Clostridia,Clostridiales,[Tissierellaceae],Anaerococcus,
OTU_934,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,
OTU_1214,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,prausnitzii
OTU_169,Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Selenomonas,
OTU_29,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,
